"SampleId","Area","Group","Side","Wing"
"KO-F-V-10N",0.141195454851072,"KO-F","Ventral","FL"
"KO-F-V-10R",0.137363006790829,"KO-F","Ventral","FL"
"KO-F-V-11P",0.143615948362805,"KO-F","Ventral","FL"
"KO-F-V-13N",0.123243461305722,"KO-F","Ventral","FL"
"KO-F-V-14J",0.0976265716398843,"KO-F","Ventral","FL"
"KO-F-V-14N",0.117461171249916,"KO-F","Ventral","FL"
"KO-F-V-15K",0.165803805553688,"KO-F","Ventral","FL"
"KO-F-V-17N",0.0966852686075439,"KO-F","Ventral","FL"
"KO-F-V-18P",0.168493242788946,"KO-F","Ventral","FL"
"KO-F-V-20213G",0.152020439722988,"KO-F","Ventral","FL"
"KO-F-V-20214E",0.135682108518792,"KO-F","Ventral","FL"
"KO-F-V-20219E",0.124050292476299,"KO-F","Ventral","FL"
"KO-F-V-2J",0.104888052175082,"KO-F","Ventral","FL"
"KO-F-V-2L",0.156458011161165,"KO-F","Ventral","FL"
"KO-F-V-2N",0.111813353055873,"KO-F","Ventral","FL"
"KO-F-V-31J",0.128084448329187,"KO-F","Ventral","FL"
"KO-F-V-4H",0.129698110670342,"KO-F","Ventral","FL"
"KO-F-V-4J",0.115981980770524,"KO-F","Ventral","FL"
"KO-F-V-6C",0.087272238284139,"KO-F","Ventral","FL"
"KO-F-V-6N",0.109325623613259,"KO-F","Ventral","FL"
"KO-F-V-7A",0.131311773011497,"KO-F","Ventral","FL"
"KO-F-V-7J",0.154978820681772,"KO-F","Ventral","FL"
"KO-F-V-7R",0.16224030121697,"KO-F","Ventral","FL"
"KO-F-V-8N",0.106232770792712,"KO-F","Ventral","FL"
"KO-F-V-9N",0.11490620587642,"KO-F","Ventral","FL"
"KO-F-V-9P",0.143615948362805,"KO-F","Ventral","FL"
"KO-F-V-10N",0.115252882749172,"KO-F","Ventral","HR"
"KO-F-V-10R",0.126041785591963,"KO-F","Ventral","HR"
"KO-F-V-11P",0.111085740381322,"KO-F","Ventral","HR"
"KO-F-V-13N",0.135689005594246,"KO-F","Ventral","HR"
"KO-F-V-14J",0.121817559082087,"KO-F","Ventral","HR"
"KO-F-V-14N",0.106062335883092,"KO-F","Ventral","HR"
"KO-F-V-15K",0.111085740381322,"KO-F","Ventral","HR"
"KO-F-V-17N",0.0904783651101724,"KO-F","Ventral","HR"
"KO-F-V-18P",0.120732960383605,"KO-F","Ventral","HR"
"KO-F-V-20213G",0.119534193401073,"KO-F","Ventral","HR"
"KO-F-V-20214E",0.100353921680557,"KO-F","Ventral","HR"
"KO-F-V-20219E",0.104235643338281,"KO-F","Ventral","HR"
"KO-F-V-2J",0.103436465349926,"KO-F","Ventral","HR"
"KO-F-V-2L",0.125984701449937,"KO-F","Ventral","HR"
"KO-F-V-2N",0.0944171709099212,"KO-F","Ventral","HR"
"KO-F-V-31J",0.113654526772463,"KO-F","Ventral","HR"
"KO-F-V-4H",0.121132549377783,"KO-F","Ventral","HR"
"KO-F-V-4J",0.0984701449937207,"KO-F","Ventral","HR"
"KO-F-V-6C",0.108402785706131,"KO-F","Ventral","HR"
"KO-F-V-6N",0.106519009019294,"KO-F","Ventral","HR"
"KO-F-V-7A",0.113140769494235,"KO-F","Ventral","HR"
"KO-F-V-7J",0.116737070441831,"KO-F","Ventral","HR"
"KO-F-V-7R",0.13135061080032,"KO-F","Ventral","HR"
"KO-F-V-8N",0.11159949765955,"KO-F","Ventral","HR"
"KO-F-V-9N",0.0890512615595388,"KO-F","Ventral","HR"
"KO-F-V-9P",0.103436465349926,"KO-F","Ventral","HR"
"KO-F-V-10N",0.124791438927565,"KO-F","Ventral","HL"
"KO-F-V-10R",0.121224325412807,"KO-F","Ventral","HL"
"KO-F-V-11P",0.11489557562856,"KO-F","Ventral","HL"
"KO-F-V-13N",0.128128416086531,"KO-F","Ventral","HL"
"KO-F-V-14J",0.118692825499108,"KO-F","Ventral","HL"
"KO-F-V-14N",0.112536677981704,"KO-F","Ventral","HL"
"KO-F-V-15K",0.115758586962775,"KO-F","Ventral","HL"
"KO-F-V-17N",0.0918244059605316,"KO-F","Ventral","HL"
"KO-F-V-18P",0.123122950348081,"KO-F","Ventral","HL"
"KO-F-V-20213G",0.128301018353374,"KO-F","Ventral","HL"
"KO-F-V-20214E",0.0921696104942178,"KO-F","Ventral","HL"
"KO-F-V-20219E",0.101490132903745,"KO-F","Ventral","HL"
"KO-F-V-2J",0.0918819400494793,"KO-F","Ventral","HL"
"KO-F-V-2L",0.135262643116046,"KO-F","Ventral","HL"
"KO-F-V-2N",0.0985558943674127,"KO-F","Ventral","HL"
"KO-F-V-31J",0.116448996030148,"KO-F","Ventral","HL"
"KO-F-V-4H",0.113975030205397,"KO-F","Ventral","HL"
"KO-F-V-4J",0.0841148380415396,"KO-F","Ventral","HL"
"KO-F-V-6C",0.112018871181175,"KO-F","Ventral","HL"
"KO-F-V-6N",0.099649042057419,"KO-F","Ventral","HL"
"KO-F-V-7A",0.108049019043783,"KO-F","Ventral","HL"
"KO-F-V-7J",0.12565445026178,"KO-F","Ventral","HL"
"KO-F-V-7R",0.139865370231862,"KO-F","Ventral","HL"
"KO-F-V-8N",0.107070939531673,"KO-F","Ventral","HL"
"KO-F-V-9N",0.087509349289454,"KO-F","Ventral","HL"
"KO-F-V-9P",0.106840803175882,"KO-F","Ventral","HL"
"KO-M-D-10M",0.194853963838665,"KO-M","Dorsal","FR"
"KO-M-D-11A",0.197705146036161,"KO-M","Dorsal","FR"
"KO-M-D-13F",0.222253129346314,"KO-M","Dorsal","FR"
"KO-M-D-13K",0.240333796940195,"KO-M","Dorsal","FR"
"KO-M-D-16J",0.195966620305981,"KO-M","Dorsal","FR"
"KO-M-D-18N",0.19346314325452,"KO-M","Dorsal","FR"
"KO-M-D-20219F",0.210083449235049,"KO-M","Dorsal","FR"
"KO-M-D-21P",0.219193324061196,"KO-M","Dorsal","FR"
"KO-M-D-2H",0.180458970792768,"KO-M","Dorsal","FR"
"KO-M-D-2V",0.237621696801113,"KO-M","Dorsal","FR"
"KO-M-D-3A",0.207301808066759,"KO-M","Dorsal","FR"
"KO-M-D-4A",0.2163421418637,"KO-M","Dorsal","FR"
"KO-M-D-5H",0.11432545201669,"KO-M","Dorsal","FR"
"KO-M-D-5M",0.250556328233658,"KO-M","Dorsal","FR"
"KO-M-D-6H",0.211613351877608,"KO-M","Dorsal","FR"
"KO-M-D-6Q",0.186787204450626,"KO-M","Dorsal","FR"
"KO-M-D-7H",0.145897079276773,"KO-M","Dorsal","FR"
"KO-M-D-8J",0.200625869262865,"KO-M","Dorsal","FR"
"KO-M-D-8P",0.205215577190542,"KO-M","Dorsal","FR"
"KO-M-D-8R",0.185326842837274,"KO-M","Dorsal","FR"
"KO-M-D-10M",0.203973689563979,"KO-M","Dorsal","FL"
"KO-M-D-11A",0.198684478198956,"KO-M","Dorsal","FL"
"KO-M-D-13F",0.213602766664406,"KO-M","Dorsal","FL"
"KO-M-D-13K",0.233471214484302,"KO-M","Dorsal","FL"
"KO-M-D-16J",0.187224520241405,"KO-M","Dorsal","FL"
"KO-M-D-18N",0.181596256865803,"KO-M","Dorsal","FL"
"KO-M-D-20219F",0.199430392622228,"KO-M","Dorsal","FL"
"KO-M-D-21P",0.209262900929003,"KO-M","Dorsal","FL"
"KO-M-D-2H",0.193598698040279,"KO-M","Dorsal","FL"
"KO-M-D-2V",0.224248999796569,"KO-M","Dorsal","FL"
"KO-M-D-3A",0.200515359056079,"KO-M","Dorsal","FL"
"KO-M-D-4A",0.212789041839018,"KO-M","Dorsal","FL"
"KO-M-D-5H",0.13968942835831,"KO-M","Dorsal","FL"
"KO-M-D-5M",0.243100291584729,"KO-M","Dorsal","FL"
"KO-M-D-6H",0.210483488167085,"KO-M","Dorsal","FL"
"KO-M-D-6Q",0.191903437987387,"KO-M","Dorsal","FL"
"KO-M-D-7H",0.135892045839832,"KO-M","Dorsal","FL"
"KO-M-D-8J",0.19610768291856,"KO-M","Dorsal","FL"
"KO-M-D-8P",0.191496575574693,"KO-M","Dorsal","FL"
"KO-M-D-8R",0.199226961415881,"KO-M","Dorsal","FL"
"KO-M-D-10M",0.112845827115142,"KO-M","Dorsal","HR"
"KO-M-D-11A",0.125703133968546,"KO-M","Dorsal","HR"
"KO-M-D-13F",0.12409597061187,"KO-M","Dorsal","HR"
"KO-M-D-13K",0.128171277694869,"KO-M","Dorsal","HR"
"KO-M-D-16J",0.126621513029503,"KO-M","Dorsal","HR"
"KO-M-D-18N",0.0946504419699231,"KO-M","Dorsal","HR"
"KO-M-D-20219F",0.12042245436804,"KO-M","Dorsal","HR"
"KO-M-D-21P",0.144587303409482,"KO-M","Dorsal","HR"
"KO-M-D-2H",0.13465732981288,"KO-M","Dorsal","HR"
"KO-M-D-2V",0.127080702559982,"KO-M","Dorsal","HR"
"KO-M-D-3A",0.110549879462748,"KO-M","Dorsal","HR"
"KO-M-D-4A",0.14171736884399,"KO-M","Dorsal","HR"
"KO-M-D-5H",0.100906899322695,"KO-M","Dorsal","HR"
"KO-M-D-5M",0.105785788084032,"KO-M","Dorsal","HR"
"KO-M-D-6H",0.137527264378372,"KO-M","Dorsal","HR"
"KO-M-D-6Q",0.11709333027207,"KO-M","Dorsal","HR"
"KO-M-D-7H",0.139421421191597,"KO-M","Dorsal","HR"
"KO-M-D-8J",0.123062794168293,"KO-M","Dorsal","HR"
"KO-M-D-8P",0.1487774078751,"KO-M","Dorsal","HR"
"KO-M-D-8R",0.12771208816439,"KO-M","Dorsal","HR"
"KO-M-D-10M",0.114327230456263,"KO-M","Dorsal","HL"
"KO-M-D-11A",0.125893635571055,"KO-M","Dorsal","HL"
"KO-M-D-13F",0.117872711421099,"KO-M","Dorsal","HL"
"KO-M-D-13K",0.118337692531241,"KO-M","Dorsal","HL"
"KO-M-D-16J",0.113571636152281,"KO-M","Dorsal","HL"
"KO-M-D-18N",0.0804417320546353,"KO-M","Dorsal","HL"
"KO-M-D-20219F",0.116652136006975,"KO-M","Dorsal","HL"
"KO-M-D-21P",0.13792502179599,"KO-M","Dorsal","HL"
"KO-M-D-2H",0.13025283347864,"KO-M","Dorsal","HL"
"KO-M-D-2V",0.123859343214182,"KO-M","Dorsal","HL"
"KO-M-D-3A",0.123626852659111,"KO-M","Dorsal","HL"
"KO-M-D-4A",0.138331880267364,"KO-M","Dorsal","HL"
"KO-M-D-5H",0.121127579192095,"KO-M","Dorsal","HL"
"KO-M-D-5M",0.114734088927637,"KO-M","Dorsal","HL"
"KO-M-D-6H",0.137227550130776,"KO-M","Dorsal","HL"
"KO-M-D-6Q",0.126591107236269,"KO-M","Dorsal","HL"
"KO-M-D-7H",0.133042720139494,"KO-M","Dorsal","HL"
"KO-M-D-8J",0.116303400174368,"KO-M","Dorsal","HL"
"KO-M-D-8P",0.134844521941296,"KO-M","Dorsal","HL"
"KO-M-D-8R",0.120662598081953,"KO-M","Dorsal","HL"
"KO-M-V-10M",0.188566438264141,"KO-M","Ventral","FR"
"KO-M-V-11A",0.154306059384657,"KO-M","Ventral","FR"
"KO-M-V-13F",0.190380223028349,"KO-M","Ventral","FR"
"KO-M-V-13K",0.176205830982131,"KO-M","Ventral","FR"
"KO-M-V-16J",0.198710197501008,"KO-M","Ventral","FR"
"KO-M-V-18N",0.185207577589682,"KO-M","Ventral","FR"
"KO-M-V-20219F",0.166599489453177,"KO-M","Ventral","FR"
"KO-M-V-21P",0.194948273545613,"KO-M","Ventral","FR"
"KO-M-V-2H",0.179228805589144,"KO-M","Ventral","FR"
"KO-M-V-2V",0.173451565229074,"KO-M","Ventral","FR"
"KO-M-V-3A",0.180102109364504,"KO-M","Ventral","FR"
"KO-M-V-4A",0.18285637511756,"KO-M","Ventral","FR"
"KO-M-V-5H",0.116686819830713,"KO-M","Ventral","FR"
"KO-M-V-5M",0.202337767029424,"KO-M","Ventral","FR"
"KO-M-V-6H",0.161897084508935,"KO-M","Ventral","FR"
"KO-M-V-6Q",0.178624210667742,"KO-M","Ventral","FR"
"KO-M-V-7H",0.155112185946527,"KO-M","Ventral","FR"
"KO-M-V-8J",0.182587666263603,"KO-M","Ventral","FR"
"KO-M-V-8P",0.151148730350665,"KO-M","Ventral","FR"
"KO-M-V-8R",0.16142684401451,"KO-M","Ventral","FR"
"KO-M-V-10M",0.162374773078733,"KO-M","Ventral","FL"
"KO-M-V-11A",0.1342029180394,"KO-M","Ventral","FL"
"KO-M-V-13F",0.161433470046393,"KO-M","Ventral","FL"
"KO-M-V-13K",0.146708801183352,"KO-M","Ventral","FL"
"KO-M-V-16J",0.1617696497008,"KO-M","Ventral","FL"
"KO-M-V-18N",0.164459086936059,"KO-M","Ventral","FL"
"KO-M-V-20219F",0.133328850937941,"KO-M","Ventral","FL"
"KO-M-V-21P",0.172056747125664,"KO-M","Ventral","FL"
"KO-M-V-2H",0.155651179990587,"KO-M","Ventral","FL"
"KO-M-V-2V",0.166139985208095,"KO-M","Ventral","FL"
"KO-M-V-3A",0.160761110737578,"KO-M","Ventral","FL"
"KO-M-V-4A",0.147381160492167,"KO-M","Ventral","FL"
"KO-M-V-5H",0.100248772944261,"KO-M","Ventral","FL"
"KO-M-V-5M",0.164459086936059,"KO-M","Ventral","FL"
"KO-M-V-6H",0.140455859611376,"KO-M","Ventral","FL"
"KO-M-V-6Q",0.160223223290526,"KO-M","Ventral","FL"
"KO-M-V-7H",0.125865662610099,"KO-M","Ventral","FL"
"KO-M-V-8J",0.159214684327305,"KO-M","Ventral","FL"
"KO-M-V-8P",0.126000134471862,"KO-M","Ventral","FL"
"KO-M-V-8R",0.141867814159887,"KO-M","Ventral","FL"
"KO-M-V-10M",0.102466034935495,"KO-M","Ventral","HR"
"KO-M-V-11A",0.104806484758534,"KO-M","Ventral","HR"
"KO-M-V-13F",0.0992693229820756,"KO-M","Ventral","HR"
"KO-M-V-13K",0.101895193515241,"KO-M","Ventral","HR"
"KO-M-V-16J",0.117650416714237,"KO-M","Ventral","HR"
"KO-M-V-18N",0.102066445941318,"KO-M","Ventral","HR"
"KO-M-V-20219F",0.0983559767096701,"KO-M","Ventral","HR"
"KO-M-V-21P",0.113939947482589,"KO-M","Ventral","HR"
"KO-M-V-2H",0.119648361685124,"KO-M","Ventral","HR"
"KO-M-V-2V",0.108231533280055,"KO-M","Ventral","HR"
"KO-M-V-3A",0.116737070441831,"KO-M","Ventral","HR"
"KO-M-V-4A",0.099668911976253,"KO-M","Ventral","HR"
"KO-M-V-5H",0.0820299120904213,"KO-M","Ventral","HR"
"KO-M-V-5M",0.101267267952963,"KO-M","Ventral","HR"
"KO-M-V-6H",0.119705445827149,"KO-M","Ventral","HR"
"KO-M-V-6Q",0.110172394108917,"KO-M","Ventral","HR"
"KO-M-V-7H",0.108174449138029,"KO-M","Ventral","HR"
"KO-M-V-8J",0.112912432926133,"KO-M","Ventral","HR"
"KO-M-V-8P",0.117079575293983,"KO-M","Ventral","HR"
"KO-M-V-8R",0.102066445941318,"KO-M","Ventral","HR"
"KO-M-V-10M",0.101547666992693,"KO-M","Ventral","HL"
"KO-M-V-11A",0.104481905529026,"KO-M","Ventral","HL"
"KO-M-V-13F",0.104942178240608,"KO-M","Ventral","HL"
"KO-M-V-13K",0.0977504171221449,"KO-M","Ventral","HL"
"KO-M-V-16J",0.107818882687993,"KO-M","Ventral","HL"
"KO-M-V-18N",0.090213451469996,"KO-M","Ventral","HL"
"KO-M-V-20219F",0.10361889419481,"KO-M","Ventral","HL"
"KO-M-V-21P",0.104251769173235,"KO-M","Ventral","HL"
"KO-M-V-2H",0.120821586790173,"KO-M","Ventral","HL"
"KO-M-V-2V",0.106438064553248,"KO-M","Ventral","HL"
"KO-M-V-3A",0.10413670099534,"KO-M","Ventral","HL"
"KO-M-V-4A",0.101087394281112,"KO-M","Ventral","HL"
"KO-M-V-5H",0.0995339738795236,"KO-M","Ventral","HL"
"KO-M-V-5M",0.0781888268799264,"KO-M","Ventral","HL"
"KO-M-V-6H",0.118290086876474,"KO-M","Ventral","HL"
"KO-M-V-6Q",0.113514757493815,"KO-M","Ventral","HL"
"KO-M-V-7H",0.109602439445371,"KO-M","Ventral","HL"
"KO-M-V-8J",0.101950405615327,"KO-M","Ventral","HL"
"KO-M-V-8P",0.104251769173235,"KO-M","Ventral","HL"
"KO-M-V-8R",0.113169552960129,"KO-M","Ventral","HL"
"ND-F-D-10G",0.187134909596662,"ND-F","Dorsal","FR"
"ND-F-D-12R",0.200834492350487,"ND-F","Dorsal","FR"
"ND-F-D-16O",0.157232267037552,"ND-F","Dorsal","FR"
"ND-F-D-17R",0.173226703755216,"ND-F","Dorsal","FR"
"ND-F-D-1Q",0.188317107093185,"ND-F","Dorsal","FR"
"ND-F-D-20213E",0.220931849791377,"ND-F","Dorsal","FR"
"ND-F-D-20A",0.189777468706537,"ND-F","Dorsal","FR"
"ND-F-D-22J",0.231015299026426,"ND-F","Dorsal","FR"
"ND-F-D-23A",0.166689847009736,"ND-F","Dorsal","FR"
"ND-F-D-28J",0.194993045897079,"ND-F","Dorsal","FR"
"ND-F-D-29A",0.166203059805285,"ND-F","Dorsal","FR"
"ND-F-D-2O",0.203129346314325,"ND-F","Dorsal","FR"
"ND-F-D-30A",0.192280945757997,"ND-F","Dorsal","FR"
"ND-F-D-3Q",0.181849791376912,"ND-F","Dorsal","FR"
"ND-F-D-4P",0.187204450625869,"ND-F","Dorsal","FR"
"ND-F-D-4Q",0.21808066759388,"ND-F","Dorsal","FR"
"ND-F-D-5A",0.137830319888734,"ND-F","Dorsal","FR"
"ND-F-D-5Q",0.183449235048679,"ND-F","Dorsal","FR"
"ND-F-D-6G",0.165368567454798,"ND-F","Dorsal","FR"
"ND-F-D-6M",0.190264255910987,"ND-F","Dorsal","FR"
"ND-F-D-6O",0.201947148817803,"ND-F","Dorsal","FR"
"ND-F-D-7G",0.153685674547983,"ND-F","Dorsal","FR"
"ND-F-D-8G",0.191307371349096,"ND-F","Dorsal","FR"
"ND-F-D-10G",0.194751474876246,"ND-F","Dorsal","FL"
"ND-F-D-12R",0.193937750050858,"ND-F","Dorsal","FL"
"ND-F-D-16O",0.171831558961145,"ND-F","Dorsal","FL"
"ND-F-D-17R",0.178205736760019,"ND-F","Dorsal","FL"
"ND-F-D-1Q",0.186885468230827,"ND-F","Dorsal","FL"
"ND-F-D-20213E",0.228249813521394,"ND-F","Dorsal","FL"
"ND-F-D-20A",0.187767003458331,"ND-F","Dorsal","FL"
"ND-F-D-22J",0.212585610632671,"ND-F","Dorsal","FL"
"ND-F-D-23A",0.151691869532786,"ND-F","Dorsal","FL"
"ND-F-D-28J",0.191767817183156,"ND-F","Dorsal","FL"
